endDate,startDate,type,unit,value
2026-04-27 18:30:06 -0400,2026-04-27 18:30:06 -0400,HKQuantityTypeIdentifierHeartRate,count/min,114
2026-04-27 18:34:40 -0400,2026-04-27 18:34:40 -0400,HKQuantityTypeIdentifierHeartRate,count/min,103
2026-04-27 18:42:00 -0400,2026-04-27 18:42:00 -0400,HKQuantityTypeIdentifierHeartRate,count/min,96
2026-04-27 18:44:47 -0400,2026-04-27 18:44:47 -0400,HKQuantityTypeIdentifierHeartRate,count/min,100
2026-04-27 18:49:08 -0400,2026-04-27 18:49:08 -0400,HKQuantityTypeIdentifierHeartRate,count/min,99
2026-04-27 18:53:56 -0400,2026-04-27 18:53:56 -0400,HKQuantityTypeIdentifierHeartRate,count/min,93
2026-04-27 18:59:01 -0400,2026-04-27 18:59:01 -0400,HKQuantityTypeIdentifierHeartRate,count/min,84
2026-04-27 19:04:36 -0400,2026-04-27 19:04:36 -0400,HKQuantityTypeIdentifierHeartRate,count/min,84
2026-04-27 19:13:41 -0400,2026-04-27 19:13:41 -0400,HKQuantityTypeIdentifierHeartRate,count/min,114
2026-04-27 19:08:11 -0400,2026-04-27 19:08:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,105
2026-04-27 18:52:35 -0400,2026-04-27 18:52:35 -0400,HKQuantityTypeIdentifierHeartRate,count/min,90
2026-04-27 19:16:14 -0400,2026-04-27 19:16:14 -0400,HKQuantityTypeIdentifierHeartRate,count/min,81
2026-04-27 19:21:38 -0400,2026-04-27 19:21:38 -0400,HKQuantityTypeIdentifierHeartRate,count/min,87
2026-04-27 19:25:37 -0400,2026-04-27 19:25:37 -0400,HKQuantityTypeIdentifierHeartRate,count/min,80
2026-04-27 19:27:59 -0400,2026-04-27 19:27:59 -0400,HKQuantityTypeIdentifierHeartRate,count/min,77
2026-04-27 19:34:30 -0400,2026-04-27 19:34:30 -0400,HKQuantityTypeIdentifierHeartRate,count/min,85
2026-04-27 19:42:15 -0400,2026-04-27 19:42:15 -0400,HKQuantityTypeIdentifierHeartRate,count/min,86
2026-04-27 19:47:06 -0400,2026-04-27 19:47:06 -0400,HKQuantityTypeIdentifierHeartRate,count/min,81
2026-04-27 19:23:38 -0400,2026-04-27 19:23:38 -0400,HKQuantityTypeIdentifierHeartRate,count/min,77
2026-04-27 19:39:12 -0400,2026-04-27 19:39:12 -0400,HKQuantityTypeIdentifierHeartRate,count/min,109
2026-04-27 19:39:13 -0400,2026-04-27 19:39:13 -0400,HKQuantityTypeIdentifierHeartRate,count/min,107
2026-04-27 19:39:25 -0400,2026-04-27 19:39:25 -0400,HKQuantityTypeIdentifierHeartRate,count/min,103
2026-04-27 19:39:29 -0400,2026-04-27 19:39:29 -0400,HKQuantityTypeIdentifierHeartRate,count/min,101
2026-04-27 19:39:35 -0400,2026-04-27 19:39:35 -0400,HKQuantityTypeIdentifierHeartRate,count/min,103
2026-04-27 19:52:45 -0400,2026-04-27 19:52:45 -0400,HKQuantityTypeIdentifierHeartRate,count/min,88
2026-04-27 19:53:50 -0400,2026-04-27 19:53:50 -0400,HKQuantityTypeIdentifierHeartRate,count/min,90
2026-04-27 19:57:58 -0400,2026-04-27 19:57:58 -0400,HKQuantityTypeIdentifierHeartRate,count/min,86
2026-04-27 20:03:52 -0400,2026-04-27 20:03:52 -0400,HKQuantityTypeIdentifierHeartRate,count/min,82.5085
2026-04-27 20:04:20 -0400,2026-04-27 20:04:20 -0400,HKQuantityTypeIdentifierHeartRate,count/min,83
2026-04-27 20:08:47 -0400,2026-04-27 20:08:47 -0400,HKQuantityTypeIdentifierHeartRate,count/min,85
2026-04-27 20:19:45 -0400,2026-04-27 20:19:45 -0400,HKQuantityTypeIdentifierHeartRate,count/min,83
2026-04-27 20:23:38 -0400,2026-04-27 20:23:38 -0400,HKQuantityTypeIdentifierHeartRate,count/min,91
2026-04-27 20:31:10 -0400,2026-04-27 20:31:10 -0400,HKQuantityTypeIdentifierHeartRate,count/min,98
2026-04-27 20:35:59 -0400,2026-04-27 20:35:59 -0400,HKQuantityTypeIdentifierHeartRate,count/min,88
2026-04-27 20:40:17 -0400,2026-04-27 20:40:17 -0400,HKQuantityTypeIdentifierHeartRate,count/min,89
2026-04-27 20:45:35 -0400,2026-04-27 20:45:35 -0400,HKQuantityTypeIdentifierHeartRate,count/min,84
2026-04-27 20:50:50 -0400,2026-04-27 20:50:50 -0400,HKQuantityTypeIdentifierHeartRate,count/min,84
2026-04-27 20:52:58 -0400,2026-04-27 20:52:58 -0400,HKQuantityTypeIdentifierHeartRate,count/min,84
2026-04-27 20:58:24 -0400,2026-04-27 20:58:24 -0400,HKQuantityTypeIdentifierHeartRate,count/min,84
2026-04-27 21:06:48 -0400,2026-04-27 21:06:48 -0400,HKQuantityTypeIdentifierHeartRate,count/min,80
2026-04-27 21:08:24 -0400,2026-04-27 21:08:24 -0400,HKQuantityTypeIdentifierHeartRate,count/min,80
2026-04-27 21:13:15 -0400,2026-04-27 21:13:15 -0400,HKQuantityTypeIdentifierHeartRate,count/min,85
2026-04-27 21:18:44 -0400,2026-04-27 21:18:44 -0400,HKQuantityTypeIdentifierHeartRate,count/min,83
2026-04-27 21:27:53 -0400,2026-04-27 21:27:53 -0400,HKQuantityTypeIdentifierHeartRate,count/min,89
