endDate,startDate,type,unit,value
2026-04-27 20:04:52 -0400,2026-04-27 20:03:52 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,17.0163
2026-04-27 22:08:29 -0400,2026-04-27 22:07:33 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,33.9371
2026-04-28 00:34:24 -0400,2026-04-28 00:33:25 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,30.6479
2026-04-28 01:58:40 -0400,2026-04-28 01:57:41 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,33.0259
2026-04-28 04:00:32 -0400,2026-04-28 03:59:33 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,43.0301
2026-04-28 05:58:43 -0400,2026-04-28 05:57:43 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,53.5683
2026-04-28 20:34:22 -0400,2026-04-28 20:33:31 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,41.0598
2026-04-28 23:19:43 -0400,2026-04-28 23:18:44 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,32.9276
2026-04-29 00:03:15 -0400,2026-04-29 00:02:15 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,16.0103
2026-04-29 01:58:30 -0400,2026-04-29 01:57:30 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,19.7878
2026-04-29 03:58:36 -0400,2026-04-29 03:57:37 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,19.8357
2026-04-29 05:58:33 -0400,2026-04-29 05:57:34 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,46.3812
2026-04-29 08:51:02 -0400,2026-04-29 08:50:03 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,11.6743
2026-04-29 10:46:20 -0400,2026-04-29 10:45:21 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,14.5245
2026-04-29 12:17:10 -0400,2026-04-29 12:16:11 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,27.5133
2026-04-29 19:23:47 -0400,2026-04-29 19:22:58 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,12.7897
2026-04-29 21:09:35 -0400,2026-04-29 21:08:36 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,42.0333
2026-04-29 22:52:02 -0400,2026-04-29 22:51:02 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,20.9754
2026-04-29 23:58:23 -0400,2026-04-29 23:57:34 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,38.824
2026-04-30 02:00:26 -0400,2026-04-30 01:59:26 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,32.1542
2026-04-30 04:00:03 -0400,2026-04-30 03:59:03 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,57.5781
2026-04-30 05:58:33 -0400,2026-04-30 05:57:33 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,45.4149
2026-04-30 07:58:31 -0400,2026-04-30 07:57:35 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,19.4032
2026-04-30 16:41:28 -0400,2026-04-30 16:40:34 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,36.0054
2026-04-30 23:00:18 -0400,2026-04-30 22:59:18 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,63.4658
2026-05-01 00:06:47 -0400,2026-05-01 00:05:47 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,26.7969
2026-05-01 01:58:34 -0400,2026-05-01 01:57:34 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,17.3252
2026-05-01 03:58:34 -0400,2026-05-01 03:57:35 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,12.6998
2026-05-01 05:58:36 -0400,2026-05-01 05:57:37 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,57.0497
2026-05-01 08:36:52 -0400,2026-05-01 08:35:53 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,9.89655
2026-05-01 13:11:43 -0400,2026-05-01 13:10:44 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,10.529
2026-05-01 18:17:04 -0400,2026-05-01 18:16:06 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,17.5506
2026-05-01 18:18:57 -0400,2026-05-01 18:18:01 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,15.0708
2026-05-01 21:20:19 -0400,2026-05-01 21:19:19 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,19.1299
2026-05-02 00:53:21 -0400,2026-05-02 00:52:23 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,15.1869
2026-05-02 01:58:37 -0400,2026-05-02 01:57:37 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,13.697
2026-05-02 03:58:31 -0400,2026-05-02 03:57:31 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,11.7511
