endDate,startDate,type,unit,value
2026-04-27 18:52:35 -0400,2026-04-27 18:52:35 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2026-04-27 19:23:38 -0400,2026-04-27 19:23:38 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2026-04-27 21:32:18 -0400,2026-04-27 21:32:18 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2026-04-27 22:07:56 -0400,2026-04-27 22:07:56 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2026-04-28 00:48:42 -0400,2026-04-28 00:48:42 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2026-04-28 01:35:30 -0400,2026-04-28 01:35:30 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2026-04-28 02:23:51 -0400,2026-04-28 02:23:51 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2026-04-28 02:53:51 -0400,2026-04-28 02:53:51 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2026-04-28 03:23:52 -0400,2026-04-28 03:23:52 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2026-04-28 03:59:40 -0400,2026-04-28 03:59:40 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2026-04-28 04:30:01 -0400,2026-04-28 04:30:01 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2026-04-28 05:00:01 -0400,2026-04-28 05:00:01 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2026-04-28 05:30:02 -0400,2026-04-28 05:30:02 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2026-04-28 06:00:13 -0400,2026-04-28 06:00:13 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2026-04-28 06:32:36 -0400,2026-04-28 06:32:36 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2026-04-28 07:02:36 -0400,2026-04-28 07:02:36 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2026-04-28 07:32:37 -0400,2026-04-28 07:32:37 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2026-04-28 23:18:49 -0400,2026-04-28 23:18:49 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2026-04-29 00:18:42 -0400,2026-04-29 00:18:42 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2026-04-29 00:48:42 -0400,2026-04-29 00:48:42 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2026-04-29 01:18:43 -0400,2026-04-29 01:18:43 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2026-04-29 01:48:44 -0400,2026-04-29 01:48:44 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2026-04-29 02:42:47 -0400,2026-04-29 02:42:47 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2026-04-29 03:12:52 -0400,2026-04-29 03:12:52 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2026-04-29 04:12:53 -0400,2026-04-29 04:12:53 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2026-04-29 04:42:54 -0400,2026-04-29 04:42:54 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2026-04-29 05:12:55 -0400,2026-04-29 05:12:55 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.96
2026-04-29 06:21:13 -0400,2026-04-29 06:21:13 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2026-04-29 06:54:54 -0400,2026-04-29 06:54:54 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2026-04-29 19:53:48 -0400,2026-04-29 19:53:48 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2026-04-29 23:57:23 -0400,2026-04-29 23:57:23 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2026-04-30 00:57:24 -0400,2026-04-30 00:57:24 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2026-04-30 01:39:20 -0400,2026-04-30 01:39:20 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2026-04-30 02:09:20 -0400,2026-04-30 02:09:20 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.96
2026-04-30 02:39:21 -0400,2026-04-30 02:39:21 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2026-04-30 03:09:22 -0400,2026-04-30 03:09:22 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2026-04-30 03:39:22 -0400,2026-04-30 03:39:22 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.96
2026-04-30 04:09:35 -0400,2026-04-30 04:09:35 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2026-04-30 04:39:36 -0400,2026-04-30 04:39:36 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2026-04-30 05:09:37 -0400,2026-04-30 05:09:37 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2026-04-30 06:09:37 -0400,2026-04-30 06:09:37 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2026-04-30 06:39:58 -0400,2026-04-30 06:39:58 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.96
2026-04-30 07:10:19 -0400,2026-04-30 07:10:19 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
