endDate,startDate,type,unit,value
2026-04-28 00:34:56 -0400,2026-04-28 00:34:56 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,19.5
2026-04-28 00:49:50 -0400,2026-04-28 00:49:50 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-28 00:55:48 -0400,2026-04-28 00:55:48 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-28 01:06:43 -0400,2026-04-28 01:06:43 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15
2026-04-28 01:21:08 -0400,2026-04-28 01:21:08 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,13.5
2026-04-28 01:28:35 -0400,2026-04-28 01:28:35 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2026-04-28 01:32:03 -0400,2026-04-28 01:32:03 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,14
2026-04-28 01:44:58 -0400,2026-04-28 01:44:58 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,15.5
2026-04-28 02:00:52 -0400,2026-04-28 02:00:52 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-28 02:02:21 -0400,2026-04-28 02:02:21 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-28 02:14:47 -0400,2026-04-28 02:14:47 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-28 02:28:11 -0400,2026-04-28 02:28:11 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,18.5
2026-04-28 02:38:07 -0400,2026-04-28 02:38:07 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-28 02:46:04 -0400,2026-04-28 02:46:04 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,17
2026-04-28 02:56:30 -0400,2026-04-28 02:56:30 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16
2026-04-28 03:08:55 -0400,2026-04-28 03:08:55 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-28 03:20:21 -0400,2026-04-28 03:20:21 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
2026-04-28 03:21:20 -0400,2026-04-28 03:21:20 -0400,HKQuantityTypeIdentifierRespiratoryRate,count/min,16.5
