endDate,startDate,type,value
2026-04-28 00:45:22 -0400,2026-04-28 00:39:54 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 00:49:20 -0400,2026-04-28 00:45:22 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-28 01:14:40 -0400,2026-04-28 00:49:20 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 01:17:39 -0400,2026-04-28 01:14:40 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-28 01:31:34 -0400,2026-04-28 01:17:39 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 01:33:33 -0400,2026-04-28 01:31:34 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-28 01:34:32 -0400,2026-04-28 01:33:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-28 01:42:29 -0400,2026-04-28 01:34:32 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 01:48:27 -0400,2026-04-28 01:42:29 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-28 01:50:56 -0400,2026-04-28 01:48:27 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 01:53:55 -0400,2026-04-28 01:50:56 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-28 01:57:53 -0400,2026-04-28 01:53:55 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-28 02:09:49 -0400,2026-04-28 01:57:53 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 02:22:43 -0400,2026-04-28 02:09:49 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-28 02:28:11 -0400,2026-04-28 02:22:43 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 02:34:09 -0400,2026-04-28 02:28:11 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-28 02:39:07 -0400,2026-04-28 02:34:09 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 03:05:56 -0400,2026-04-28 02:39:07 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepDeep
2026-04-28 03:30:47 -0400,2026-04-28 03:05:56 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 03:32:46 -0400,2026-04-28 03:30:47 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-28 03:37:44 -0400,2026-04-28 03:32:46 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 03:39:13 -0400,2026-04-28 03:37:44 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-28 03:47:10 -0400,2026-04-28 03:39:13 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 03:53:38 -0400,2026-04-28 03:47:10 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-28 03:58:06 -0400,2026-04-28 03:53:38 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-28 04:19:57 -0400,2026-04-28 03:58:06 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-28 04:20:27 -0400,2026-04-28 04:19:57 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-28 04:24:25 -0400,2026-04-28 04:20:27 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 04:26:25 -0400,2026-04-28 04:24:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepREM
2026-04-28 05:38:26 -0400,2026-04-28 04:26:25 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
2026-04-28 05:38:56 -0400,2026-04-28 05:38:26 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAwake
2026-04-28 05:49:52 -0400,2026-04-28 05:38:56 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepCore
