endDate,startDate,type,unit,value
2022-04-17 00:54:58 -0400,2022-04-17 00:54:58 -0400,HKQuantityTypeIdentifierHeartRate,count/min,72
2022-04-17 00:59:47 -0400,2022-04-17 00:59:47 -0400,HKQuantityTypeIdentifierHeartRate,count/min,66.391
2022-04-17 01:01:45 -0400,2022-04-17 01:01:45 -0400,HKQuantityTypeIdentifierHeartRate,count/min,66
2022-04-17 01:04:27 -0400,2022-04-17 01:04:27 -0400,HKQuantityTypeIdentifierHeartRate,count/min,63
2022-04-17 01:07:40 -0400,2022-04-17 01:07:40 -0400,HKQuantityTypeIdentifierHeartRate,count/min,59
2022-04-17 01:15:48 -0400,2022-04-17 01:15:48 -0400,HKQuantityTypeIdentifierHeartRate,count/min,63
2022-04-17 01:20:04 -0400,2022-04-17 01:20:04 -0400,HKQuantityTypeIdentifierHeartRate,count/min,55
2022-04-17 01:23:00 -0400,2022-04-17 01:23:00 -0400,HKQuantityTypeIdentifierHeartRate,count/min,53
2022-04-17 01:31:02 -0400,2022-04-17 01:31:02 -0400,HKQuantityTypeIdentifierHeartRate,count/min,53
2022-04-17 01:32:23 -0400,2022-04-17 01:32:23 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 01:41:25 -0400,2022-04-17 01:41:25 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 01:46:05 -0400,2022-04-17 01:46:05 -0400,HKQuantityTypeIdentifierHeartRate,count/min,62
2022-04-17 01:51:08 -0400,2022-04-17 01:51:08 -0400,HKQuantityTypeIdentifierHeartRate,count/min,60
2022-04-17 01:53:16 -0400,2022-04-17 01:53:16 -0400,HKQuantityTypeIdentifierHeartRate,count/min,63
2022-04-17 02:00:25 -0400,2022-04-17 02:00:25 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 02:01:54 -0400,2022-04-17 02:01:54 -0400,HKQuantityTypeIdentifierHeartRate,count/min,53
2022-04-17 02:04:17 -0400,2022-04-17 02:04:17 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 02:07:48 -0400,2022-04-17 02:07:48 -0400,HKQuantityTypeIdentifierHeartRate,count/min,53
2022-04-17 02:13:11 -0400,2022-04-17 02:13:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,55
2022-04-17 02:17:10 -0400,2022-04-17 02:17:10 -0400,HKQuantityTypeIdentifierHeartRate,count/min,55
2022-04-17 02:23:46 -0400,2022-04-17 02:23:46 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 02:30:26 -0400,2022-04-17 02:30:26 -0400,HKQuantityTypeIdentifierHeartRate,count/min,59
2022-04-17 02:30:53 -0400,2022-04-17 02:30:53 -0400,HKQuantityTypeIdentifierHeartRate,count/min,59
2022-04-17 02:32:34 -0400,2022-04-17 02:32:34 -0400,HKQuantityTypeIdentifierHeartRate,count/min,60
2022-04-17 02:37:14 -0400,2022-04-17 02:37:14 -0400,HKQuantityTypeIdentifierHeartRate,count/min,58
2022-04-17 02:46:38 -0400,2022-04-17 02:46:38 -0400,HKQuantityTypeIdentifierHeartRate,count/min,51
2022-04-17 02:49:32 -0400,2022-04-17 02:49:32 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 02:52:10 -0400,2022-04-17 02:52:10 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 03:01:11 -0400,2022-04-17 03:01:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,58
2022-04-17 03:04:51 -0400,2022-04-17 03:04:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,66
2022-04-17 03:08:53 -0400,2022-04-17 03:08:53 -0400,HKQuantityTypeIdentifierHeartRate,count/min,66
2022-04-17 03:13:04 -0400,2022-04-17 03:13:04 -0400,HKQuantityTypeIdentifierHeartRate,count/min,52
2022-04-17 03:19:24 -0400,2022-04-17 03:19:24 -0400,HKQuantityTypeIdentifierHeartRate,count/min,56
2022-04-17 03:25:21 -0400,2022-04-17 03:25:21 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 03:29:08 -0400,2022-04-17 03:29:08 -0400,HKQuantityTypeIdentifierHeartRate,count/min,53
2022-04-17 03:32:16 -0400,2022-04-17 03:32:16 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 03:38:19 -0400,2022-04-17 03:38:19 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 03:42:04 -0400,2022-04-17 03:42:04 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 03:47:32 -0400,2022-04-17 03:47:32 -0400,HKQuantityTypeIdentifierHeartRate,count/min,55
2022-04-17 03:56:33 -0400,2022-04-17 03:56:33 -0400,HKQuantityTypeIdentifierHeartRate,count/min,55
2022-04-17 03:58:09 -0400,2022-04-17 03:58:09 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 04:08:45 -0400,2022-04-17 04:08:45 -0400,HKQuantityTypeIdentifierHeartRate,count/min,59
2022-04-17 04:02:07 -0400,2022-04-17 04:02:07 -0400,HKQuantityTypeIdentifierHeartRate,count/min,54
2022-04-17 04:07:13 -0400,2022-04-17 04:07:13 -0400,HKQuantityTypeIdentifierHeartRate,count/min,60
2022-04-17 04:12:02 -0400,2022-04-17 04:12:02 -0400,HKQuantityTypeIdentifierHeartRate,count/min,64
2022-04-17 04:20:11 -0400,2022-04-17 04:20:11 -0400,HKQuantityTypeIdentifierHeartRate,count/min,57
2022-04-17 04:23:51 -0400,2022-04-17 04:23:51 -0400,HKQuantityTypeIdentifierHeartRate,count/min,60
