endDate,startDate,type,unit,value
2022-04-17 01:00:46 -0400,2022-04-17 00:59:47 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,30.6412
2022-04-17 04:32:52 -0400,2022-04-17 04:31:52 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,37.274
2022-04-17 09:40:20 -0400,2022-04-17 09:39:21 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,100.562
2022-04-17 12:36:28 -0400,2022-04-17 12:35:28 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,92.3911
2023-04-17 02:19:16 -0400,2023-04-17 02:18:17 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,52.3759
2023-04-17 02:24:39 -0400,2023-04-17 02:23:40 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,27.2383
2023-04-17 04:24:39 -0400,2023-04-17 04:23:39 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,79.6433
2023-04-17 06:24:34 -0400,2023-04-17 06:23:34 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,26.8345
2023-04-17 08:24:38 -0400,2023-04-17 08:23:39 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,35.0427
2023-04-17 10:52:33 -0400,2023-04-17 10:51:35 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,33.2676
2023-04-17 15:06:29 -0400,2023-04-17 15:06:10 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,21.399
2024-04-17 00:46:24 -0400,2024-04-17 00:45:24 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,20.9656
2024-04-17 00:50:50 -0400,2024-04-17 00:49:51 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,18.7983
2024-04-17 02:36:01 -0400,2024-04-17 02:35:02 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,12.0239
2024-04-17 04:35:59 -0400,2024-04-17 04:34:59 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,14.58
2024-04-17 06:40:18 -0400,2024-04-17 06:39:18 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,47.0929
2024-04-17 18:28:24 -0400,2024-04-17 18:27:26 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,31.5821
2024-04-17 21:32:31 -0400,2024-04-17 21:31:37 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,20.9283
2024-04-17 23:59:03 -0400,2024-04-17 23:58:03 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,38.7791
2025-04-17 01:51:36 -0400,2025-04-17 01:50:36 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,30.8557
2025-04-17 03:51:58 -0400,2025-04-17 03:50:58 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,173.541
2025-04-17 05:51:29 -0400,2025-04-17 05:50:29 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,59.9013
2025-04-17 13:39:41 -0400,2025-04-17 13:38:46 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,25.1691
2025-04-17 23:01:28 -0400,2025-04-17 23:00:31 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,56.3099
2025-04-17 23:51:23 -0400,2025-04-17 23:50:24 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,17.8078
2026-04-17 00:21:36 -0400,2026-04-17 00:20:54 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,12.7637
2026-04-17 02:01:30 -0400,2026-04-17 02:00:31 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,19.3261
2026-04-17 04:01:34 -0400,2026-04-17 04:00:35 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,9.06419
2026-04-17 06:02:57 -0400,2026-04-17 06:01:58 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,77.1365
2026-04-17 08:53:38 -0400,2026-04-17 08:52:42 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,14.0756
2026-04-17 15:06:08 -0400,2026-04-17 15:05:25 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,12.9885
2026-04-17 16:07:36 -0400,2026-04-17 16:06:36 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,20.0931
2026-04-17 18:13:47 -0400,2026-04-17 18:12:48 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,37.5037
2026-04-17 20:20:32 -0400,2026-04-17 20:19:32 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,20.9962
2026-04-17 22:31:17 -0400,2026-04-17 22:30:47 -0400,HKQuantityTypeIdentifierHeartRateVariabilitySDNN,ms,37.9315
