endDate,startDate,type,unit,value
2022-04-17 02:00:25 -0400,2022-04-17 02:00:25 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2022-04-17 02:30:26 -0400,2022-04-17 02:30:26 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.95
2022-04-17 04:08:45 -0400,2022-04-17 04:08:45 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2022-04-17 04:45:51 -0400,2022-04-17 04:45:51 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.96
2022-04-17 05:45:52 -0400,2022-04-17 05:45:52 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2022-04-17 06:42:12 -0400,2022-04-17 06:42:12 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.96
2022-04-17 07:42:13 -0400,2022-04-17 07:42:13 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2022-04-17 09:39:27 -0400,2022-04-17 09:39:27 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2023-04-17 02:18:23 -0400,2023-04-17 02:18:23 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2023-04-17 03:26:44 -0400,2023-04-17 03:26:44 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2023-04-17 03:57:57 -0400,2023-04-17 03:57:57 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2023-04-17 04:37:21 -0400,2023-04-17 04:37:21 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2023-04-17 05:37:21 -0400,2023-04-17 05:37:21 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2023-04-17 06:07:22 -0400,2023-04-17 06:07:22 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2023-04-17 07:14:48 -0400,2023-04-17 07:14:48 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2023-04-17 07:44:49 -0400,2023-04-17 07:44:49 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2023-04-17 08:20:02 -0400,2023-04-17 08:20:02 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2023-04-17 08:52:05 -0400,2023-04-17 08:52:05 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2023-04-17 15:06:18 -0400,2023-04-17 15:06:18 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.93
2024-04-17 00:46:48 -0400,2024-04-17 00:46:48 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2024-04-17 02:06:00 -0400,2024-04-17 02:06:00 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2024-04-17 02:36:00 -0400,2024-04-17 02:36:00 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.99
2024-04-17 03:06:01 -0400,2024-04-17 03:06:01 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2024-04-17 03:36:07 -0400,2024-04-17 03:36:07 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2024-04-17 04:36:07 -0400,2024-04-17 04:36:07 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,1
2024-04-17 05:15:38 -0400,2024-04-17 05:15:38 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.98
2024-04-17 05:45:56 -0400,2024-04-17 05:45:56 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
2024-04-17 23:58:15 -0400,2024-04-17 23:58:15 -0400,HKQuantityTypeIdentifierOxygenSaturation,%,0.97
