endDate,startDate,type,value
2021-04-17 06:30:01 -0400,2021-04-17 04:52:09 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2022-04-17 01:42:03 -0400,2022-04-17 01:22:03 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 01:59:03 -0400,2022-04-17 01:46:03 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 02:26:03 -0400,2022-04-17 02:02:03 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 02:40:33 -0400,2022-04-17 02:31:03 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 03:09:33 -0400,2022-04-17 02:46:03 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 03:15:33 -0400,2022-04-17 03:10:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 03:52:03 -0400,2022-04-17 03:22:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 04:17:33 -0400,2022-04-17 04:00:03 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 04:59:33 -0400,2022-04-17 04:20:03 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 05:09:33 -0400,2022-04-17 05:06:03 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 06:07:33 -0400,2022-04-17 05:11:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 06:55:33 -0400,2022-04-17 06:13:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 06:58:33 -0400,2022-04-17 06:57:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 07:02:33 -0400,2022-04-17 07:01:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 07:07:33 -0400,2022-04-17 07:06:03 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 07:53:03 -0400,2022-04-17 07:20:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 08:00:02 -0400,2022-04-17 00:53:11 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2022-04-17 08:10:33 -0400,2022-04-17 07:54:03 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 08:18:03 -0400,2022-04-17 08:11:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2022-04-17 08:31:03 -0400,2022-04-17 08:20:33 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisAsleepUnspecified
2023-04-17 00:07:32 -0400,2023-04-16 23:59:22 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 00:07:53 -0400,2023-04-17 00:07:52 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 00:26:05 -0400,2023-04-17 00:11:03 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 00:43:26 -0400,2023-04-17 00:26:11 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 00:45:19 -0400,2023-04-17 00:43:28 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 00:48:43 -0400,2023-04-17 00:45:32 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 01:30:33 -0400,2023-04-17 00:50:07 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 01:32:05 -0400,2023-04-17 01:31:10 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
2023-04-17 01:36:04 -0400,2023-04-17 01:33:00 -0400,HKCategoryTypeIdentifierSleepAnalysis,HKCategoryValueSleepAnalysisInBed
