id,side,timestamp,total_movement
24781,left,1777350300,195
24782,right,1777350300,1000
24783,left,1777350360,567
24784,right,1777350360,1000
24785,left,1777350420,567
24786,right,1777350420,1000
24787,left,1777350480,567
24788,right,1777350480,1000
24789,left,1777350540,146
24790,right,1777350540,880
24791,left,1777350600,129
24792,right,1777350600,268
24793,left,1777350660,146
24794,right,1777350660,268
24795,left,1777350720,181
24796,right,1777350720,250
24797,left,1777350780,181
24798,right,1777350780,250
24799,left,1777350840,152
24800,right,1777350840,155
24801,left,1777350900,94
24802,right,1777350900,127
24803,left,1777350960,20
24804,right,1777350960,127
24805,left,1777351020,3
24806,right,1777351020,0
24807,left,1777351080,0
24808,right,1777351080,0
24809,left,1777351140,0
24810,right,1777351140,0
24811,left,1777351200,0
24812,right,1777351200,12
24813,left,1777351260,0
24814,right,1777351260,12
24815,left,1777351320,0
24816,right,1777351320,23
24817,left,1777351380,4
24818,right,1777351380,4
24819,left,1777351440,8
24820,right,1777351440,7
24821,left,1777351500,8
24822,right,1777351500,7
24823,left,1777351560,7
24824,right,1777351560,7
24825,left,1777351620,7
24826,right,1777351620,29
24827,left,1777351680,186
24828,right,1777351680,915
24829,left,1777351740,186
24830,right,1777351740,915
24831,left,1777351800,48
24832,right,1777351800,26
24833,left,1777351860,36
24834,right,1777351860,4
24835,left,1777351920,36
24836,right,1777351920,4
24837,left,1777351980,36
24838,right,1777351980,2
24839,left,1777352040,29
24840,right,1777352040,9
24841,left,1777352100,16
24842,right,1777352100,0
24843,left,1777352160,16
24844,right,1777352160,4
24845,left,1777352220,16
24846,right,1777352220,4
24847,left,1777352280,28
24848,right,1777352280,9
24849,left,1777352340,28
24850,right,1777352340,9
24851,left,1777352400,12
24852,right,1777352400,7
24853,left,1777352460,12
24854,right,1777352460,0
24855,left,1777352520,23
24856,right,1777352520,6
24857,left,1777352580,23
24858,right,1777352580,0
24859,left,1777352640,21
24860,right,1777352640,3
24861,left,1777352700,20
24862,right,1777352700,3
24863,left,1777352760,19
24864,right,1777352760,10
24865,left,1777352820,13
24866,right,1777352820,10
24867,left,1777352880,10
24868,right,1777352880,0
24869,left,1777352940,10
24870,right,1777352940,0
24871,left,1777353000,10
24872,right,1777353000,0
24873,left,1777353060,13
24874,right,1777353060,6
24875,left,1777353120,13
24876,right,1777353120,0
24877,left,1777353180,16
24878,right,1777353180,0
24879,left,1777353240,13
24880,right,1777353240,0
24881,left,1777353300,13
24882,right,1777353300,0
24883,left,1777353360,13
24884,right,1777353360,5
24885,left,1777353420,8
24886,right,1777353420,82
24887,left,1777353480,0
24888,right,1777353480,82
24889,left,1777353540,0
24890,right,1777353540,0
24891,left,1777353600,0
24892,right,1777353600,0
24893,left,1777353660,0
24894,right,1777353660,4
24895,left,1777353720,0
24896,right,1777353720,5
