id,side,timestamp,heart_rate,hrv,breathing_rate
1403,right,1777336668,91.1854103343465,,17.828427602600854
1404,right,1777336729,59.7609561752988,,15.825010550007033
1405,right,1777336789,62.5,,18.43388763009332
1406,left,1777349925,81.08108108108108,55.485782821396214,15.241320914479255
1407,left,1777349986,,33.938719924309325,17.98740881383032
1408,left,1777350047,101.69491525423729,59.93162828067731,18.38765503316989
1409,left,1777358060,87.20930232558139,68.22061714267885,19.75783980951416
1410,left,1777358121,,41.765246347521234,16.582602086644098
1411,left,1777358181,59.642147117296226,,16.58947950508053
1412,left,1777361504,94.48818897637796,,15.675619186957883
1413,left,1777361564,62.63048016701461,74.03128783796328,18.760659465605457
1414,left,1777361624,94.19152276295134,,17.29413329785819
1415,left,1777362738,60.0,69.2942868870263,16.972325680071663
1416,right,1777362739,59.7609561752988,58.51958958953447,13.219935662979774
1417,left,1777362798,,69.3389293630963,16.861036953772658
1418,right,1777362799,,60.293816492823126,14.704981312419584
1419,left,1777362858,,,14.108794481893714
1420,right,1777362860,103.80622837370242,67.70254592459398,15.981641601442448
1421,left,1777363783,99.83361064891847,66.75889453848079,16.063396872992076
1422,left,1777363843,67.11409395973155,65.53370634007103,16.994541147389018
1423,left,1777363904,71.94244604316546,59.77583021369112,15.427337241592102
1424,left,1777371055,92.16589861751152,,19.92649337997609
1425,left,1777371115,85.71428571428571,31.91836685656019,15.315238662469156
1426,left,1777371176,60.0,6.999825546296757,23.521212649185465
1427,left,1777371239,75.18796992481202,,19.156272615044063
1428,left,1777371299,104.8951048951049,,17.255014738658424
1429,left,1777371359,94.04388714733543,66.45917412924395,23.21014104624174
1430,left,1777372123,70.09345794392523,,19.536141862445525
1431,left,1777372184,90.9090909090909,70.63164750754176,18.671901182553746
1432,left,1777372245,86.45533141210375,85.8218482038839,17.051267477549164
1433,left,1777372933,97.71986970684038,,20.699172033118675
1434,left,1777372994,69.12442396313364,,20.70036225633949
1435,left,1777373055,75.0,94.08896717538236,20.23136380142138
1436,left,1777374190,80.42895442359249,,13.777997597682468
1437,left,1777374250,62.11180124223603,,19.44463396329399
1438,left,1777374311,58.708414872798436,59.26838440950893,20.21850170261067
1439,left,1777376443,68.02721088435374,,18.741890528136867
1440,left,1777376503,81.9672131147541,84.78350396349276,12.472067764901524
1441,left,1777376563,68.96551724137932,,17.824429370698617
1442,left,1777376624,,64.9661130446439,19.387755102040813
1443,left,1777435651,63.29113924050633,62.227446457148844,12.71066754542887
1444,left,1777435712,50.505050505050505,,18.148134144958224
1445,right,1777435714,100.33444816053512,,19.691499835904168
1446,left,1777435772,69.76744186046511,77.95952987277819,19.420618223013427
1447,right,1777435774,70.4225352112676,,18.100043878894255
1448,right,1777435834,,,20.710059171597635
1449,right,1777435895,100.84033613445378,94.18185718184911,12.267201962752313
1450,right,1777435956,76.33587786259542,,22.963870177587264
1451,left,1777436295,63.02521008403362,70.15591494165955,16.286644951140065
1452,left,1777436355,,68.75075757158365,16.936973927324985
1453,left,1777436416,,78.24161296905886,17.700507414545886
1454,left,1777441814,86.20689655172414,21.92580080044377,20.524515393386544
1455,left,1777441874,71.42857142857143,75.71987849963838,19.396230168598002
1456,left,1777441935,,,19.63426371511068
1457,left,1777448343,73.52941176470588,,19.278435692646656
1458,left,1777448404,,72.239139871348,18.690294891319397
1459,left,1777448464,,72.62446109824428,19.86473064371187
1460,left,1777453392,75.37688442211055,97.65370916447695,14.29081814933905
1461,right,1777453393,75.18796992481202,87.15709257868983,19.163206643244973
1462,left,1777453453,,82.14091861833445,15.938795027095951
1463,right,1777453454,75.37688442211055,,19.104477611940297
1464,left,1777453514,69.12442396313364,78.73403088276136,18.560254540633697
1465,right,1777453515,66.2251655629139,81.57306238852978,15.247424109411817
1466,right,1777453575,,,17.60219049481713
1467,left,1777454305,56.71077504725898,65.09480265991543,17.4881792862232
1468,left,1777454366,,,18.940888643358853
1469,left,1777454426,50.0,,19.507965752682345
1470,left,1777455946,73.89162561576354,68.39596647794865,11.347517730496454
1471,left,1777456007,,91.83602892737863,18.650088809946716
1472,left,1777456068,58.59375,68.01092394336885,17.6159718144451
1473,left,1777459261,47.61904761904762,,17.29521979341821
1474,left,1777459321,67.26457399103138,,20.413370757846387
1475,left,1777459382,74.44168734491315,,18.220142188560608
1476,left,1777460243,81.08108108108108,75.49159153281153,17.637375558516897
1477,left,1777460309,84.7457627118644,61.72034437429535,20.851030967642288
1478,left,1777460369,,87.01687853095216,19.16320664324497
1479,left,1777462346,70.2576112412178,80.8184202828813,16.030311862430775
1480,right,1777462349,70.2576112412178,92.85778191767625,18.90954932240782
1481,left,1777462407,,,17.208666107752727
1482,right,1777462413,,75.31956070074241,21.835930810070217
1483,left,1777462468,61.72839506172839,85.92250614959937,18.52861035422343
1484,right,1777462473,121.21212121212122,41.22732477001519,17.753580305361577
1485,right,1777462533,101.01010101010101,28.732780052975198,16.168148746968473
1486,right,1777462593,100.67114093959732,,18.193579687879033
1487,right,1777462654,100.84033613445378,12.040286168510734,20.169035728006147
1488,left,1777463454,64.79481641468682,72.93024287823715,13.977325671688154
1489,left,1777463514,,88.08978104076274,21.009629413481182
1490,left,1777463575,60.120240480961925,,16.018985464253934
